column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
don't think it's business.	that's nice.	don't think it's business.	that's nice.	don't think it's business.	that's nice.
that's nice.	apologize, i'm getting phone now.	that's nice.	apologize, i'm getting phone now.	that's nice.	apologize, i'm getting phone now.
apologize, i'm getting phone now.	okay.	apologize, i'm getting phone now.	okay.	apologize, i'm getting phone now.	okay.
i'll talk later.	what's rush?	i'll talk later.	what's rush?	i'll talk later.	what's rush?
what's rush?	phone now.	what's rush?	phone now.	what's rush?	phone now.
phone now.	i'm ready phone you.	phone now.	i'm ready phone you.	phone now.	i'm ready phone you.
i'm ready phone you.	things need care of.	i'm ready phone you.	things need care of.	i'm ready phone you.	things need care of.
things need care of.	need do?	things need care of.	need do?	things need care of.	need do?
need do?	don't nosey.	need do?	don't nosey.	need do?	don't nosey.
don't nosey.	i'm nosey, it's question.	don't nosey.	i'm nosey, it's question.	don't nosey.	i'm nosey, it's question.
i'm nosey, it's question.	don't need worry that.	i'm nosey, it's question.	don't need worry that.	i'm nosey, it's question.	don't need worry that.
don't need worry that.	mean say.	don't need worry that.	mean say.	don't need worry that.	mean say.
mean say.	sorry, go.	mean say.	sorry, go.	mean say.	sorry, go.
well, nice talking you.	nice talking too.	well, nice talking you.	nice talking too.	well, nice talking you.	nice talking too.
nice talking too.	hang again.	nice talking too.	hang again.	nice talking too.	hang again.
hang again.	fun.	hang again.	fun.	hang again.	fun.
fun.	want go?	fun.	want go?	fun.	want go?
want go?	think eat.	want go?	think eat.	want go?	think eat.
think eat.	sounds good.	think eat.	sounds good.	think eat.	sounds good.
sounds good.	right, i'll then.	sounds good.	right, i'll then.	sounds good.	right, i'll then.
right, i'll then.	i'll later.	right, i'll then.	i'll later.	right, i'll then.	i'll later.
i'll later.	okay, i'll talk later then.	i'll later.	okay, i'll talk later then.	i'll later.	okay, i'll talk later then.
okay, i'll talk later then.	later.	okay, i'll talk later then.	later.	okay, i'll talk later then.	later.
later.	bye.	later.	bye.	later.	bye.
enjoyed talking you.	enjoyed talking too.	enjoyed talking you.	enjoyed talking too.	enjoyed talking you.	enjoyed talking too.
enjoyed talking too.	hang time.	enjoyed talking too.	hang time.	enjoyed talking too.	hang time.
hang time.	think nice.	hang time.	think nice.	hang time.	think nice.
think nice.	like time?	think nice.	like time?	think nice.	like time?
like time?	want eat?	like time?	want eat?	like time?	want eat?
want eat?	i'd like that.	want eat?	i'd like that.	want eat?	i'd like that.
i'd like that.	i'll time.	i'd like that.	i'll time.	i'd like that.	i'll time.
i'll time.	i'm going soon.	i'll time.	i'm going soon.	i'll time.	i'm going soon.
i'm going soon.	i'll talk later.	i'm going soon.	i'll talk later.	i'm going soon.	i'll talk later.
i'll talk later.	soon.	i'll talk later.	soon.	i'll talk later.	soon.
soon.	goodbye.	soon.	goodbye.	soon.	goodbye.
fun talking you.	nice talking also.	fun talking you.	nice talking also.	fun talking you.	nice talking also.
nice talking also.	think sometime.	nice talking also.	think sometime.	nice talking also.	think sometime.
think sometime.	loads fun.	think sometime.	loads fun.	think sometime.	loads fun.
loads fun.	want time?	loads fun.	want time?	loads fun.	want time?
want time?	like dinner something?	want time?	like dinner something?	want time?	like dinner something?
like dinner something?	yeah, let's that.	like dinner something?	yeah, let's that.	like dinner something?	yeah, let's that.
yeah, let's that.	okay, time then.	yeah, let's that.	okay, time then.	yeah, let's that.	okay, time then.
okay, time then.	i'll set up.	okay, time then.	i'll set up.	okay, time then.	i'll set up.
i'll set up.	talk then.	i'll set up.	talk then.	i'll set up.	talk then.
talk then.	right, you.	talk then.	right, you.	talk then.	right, you.
live?	live pasadena.	live?	live pasadena.	live?	live pasadena.
live pasadena.	pasadena?	live pasadena.	pasadena?	live pasadena.	pasadena?
pasadena?	it's california.	pasadena?	it's california.	pasadena?	it's california.
it's california.	northern california?	it's california.	northern california?	it's california.	northern california?
no. it's southern california.	pasadena big city?	no. it's southern california.	pasadena big city?	no. it's southern california.	pasadena big city?
pasadena big city?	it's pretty big.	pasadena big city?	it's pretty big.	pasadena big city?	it's pretty big.
it's pretty big.	"big ""pretty big""?"	it's pretty big.	"big ""pretty big""?"	it's pretty big.	"big ""pretty big""?"
"big ""pretty big""?"	140,000 people.	"big ""pretty big""?"	140,000 people.	"big ""pretty big""?"	140,000 people.
140,000 people.	big los angeles?	140,000 people.	big los angeles?	140,000 people.	big los angeles?
big los angeles?	3 million people.	big los angeles?	3 million people.	big los angeles?	3 million people.
car?	yes, do.	car?	yes, do.	car?	yes, do.
yes, do.	kind car have?	yes, do.	kind car have?	yes, do.	kind car have?
kind car have?	honda.	kind car have?	honda.	kind car have?	honda.
honda.	new?	honda.	new?	honda.	new?
new?	new 2003.	new?	new 2003.	new?	new 2003.
new 2003.	so, it's pretty old now.	new 2003.	so, it's pretty old now.	new 2003.	so, it's pretty old now.
so, it's pretty old now.	yes, is. looks good.	so, it's pretty old now.	yes, is. looks good.	so, it's pretty old now.	yes, is. looks good.
yes, is. looks good.	good care it?	yes, is. looks good.	good care it?	yes, is. looks good.	good care it?
good care it?	oh, yes. wash week.	good care it?	oh, yes. wash week.	good care it?	oh, yes. wash week.
oh, yes. wash week.	change oil?	oh, yes. wash week.	change oil?	oh, yes. wash week.	change oil?
change oil?	mechanic changes oil twice year.	change oil?	mechanic changes oil twice year.	change oil?	mechanic changes oil twice year.
girlfriend?	no, don't. you?	girlfriend?	no, don't. you?	girlfriend?	no, don't. you?
no, don't. you?	don't girlfriend, either.	no, don't. you?	don't girlfriend, either.	no, don't. you?	don't girlfriend, either.
don't girlfriend, either.	not?	don't girlfriend, either.	not?	don't girlfriend, either.	not?
not?	don't know. maybe i'm rich enough.	not?	don't know. maybe i'm rich enough.	not?	don't know. maybe i'm rich enough.
don't know. maybe i'm rich enough.	girls like guys money.	don't know. maybe i'm rich enough.	girls like guys money.	don't know. maybe i'm rich enough.	girls like guys money.
girls like guys money.	sure do.	girls like guys money.	sure do.	girls like guys money.	sure do.
sure do.	like guys new cars.	sure do.	like guys new cars.	sure do.	like guys new cars.
like guys new cars.	don't money new car.	like guys new cars.	don't money new car.	like guys new cars.	don't money new car.
don't money new car.	me, neither.	don't money new car.	me, neither.	don't money new car.	me, neither.
me, neither.	girls like guys funny.	me, neither.	girls like guys funny.	me, neither.	girls like guys funny.
girls like guys funny.	maybe learn good jokes.	girls like guys funny.	maybe learn good jokes.	girls like guys funny.	maybe learn good jokes.
going?	walk dog.	going?	walk dog.	going?	walk dog.
walk dog.	kind dog have?	walk dog.	kind dog have?	walk dog.	kind dog have?
kind dog have?	little poodle.	kind dog have?	little poodle.	kind dog have?	little poodle.
little poodle.	poodles bark lot.	little poodle.	poodles bark lot.	little poodle.	poodles bark lot.
poodles bark lot.	sure do.	poodles bark lot.	sure do.	poodles bark lot.	sure do.
sure do.	bark everything.	sure do.	bark everything.	sure do.	bark everything.
bark everything.	shut up.	bark everything.	shut up.	bark everything.	shut up.
shut up.	poodle?	shut up.	poodle?	shut up.	poodle?
poodle?	it's mom's dog.	poodle?	it's mom's dog.	poodle?	it's mom's dog.
it's mom's dog.	likes poodles.	it's mom's dog.	likes poodles.	it's mom's dog.	likes poodles.
likes poodles.	says they're good watchdogs.	likes poodles.	says they're good watchdogs.	likes poodles.	says they're good watchdogs.
borrow $5?	sure. need it?	borrow $5?	sure. need it?	borrow $5?	sure. need it?
sure. need it?	want buy lunch.	sure. need it?	want buy lunch.	sure. need it?	want buy lunch.
want buy lunch.	where's money?	want buy lunch.	where's money?	want buy lunch.	where's money?
where's money?	it's wallet.	where's money?	it's wallet.	where's money?	it's wallet.
it's wallet.	wallet empty?	it's wallet.	wallet empty?	it's wallet.	wallet empty?
wallet empty?	don't dollar it.	wallet empty?	don't dollar it.	wallet empty?	don't dollar it.
don't dollar it.	broke fun.	don't dollar it.	broke fun.	don't dollar it.	broke fun.
broke fun.	it's short while.	broke fun.	it's short while.	broke fun.	it's short while.
it's short while.	it's good friends.	it's short while.	it's good friends.	it's short while.	it's good friends.
it's good friends.	friends lend money you're broke.	it's good friends.	friends lend money you're broke.	it's good friends.	friends lend money you're broke.
friends lend money you're broke.	long pay back.	friends lend money you're broke.	long pay back.	friends lend money you're broke.	long pay back.
let's beach.	that's great idea.	let's beach.	that's great idea.	let's beach.	that's great idea.
that's great idea.	haven't while.	that's great idea.	haven't while.	that's great idea.	haven't while.
haven't while.	haven't month.	haven't while.	haven't month.	haven't while.	haven't month.
haven't month.	time went, drowned.	haven't month.	time went, drowned.	haven't month.	time went, drowned.
time went, drowned.	no, didn't.	time went, drowned.	no, didn't.	time went, drowned.	no, didn't.
no, didn't.	lifeguard dive water?	no, didn't.	lifeguard dive water?	no, didn't.	lifeguard dive water?
lifeguard dive water?	think wanted cool off.	lifeguard dive water?	think wanted cool off.	lifeguard dive water?	think wanted cool off.
think wanted cool off.	swam right you.	think wanted cool off.	swam right you.	think wanted cool off.	swam right you.
swam right you.	turned right around.	swam right you.	turned right around.	swam right you.	turned right around.
turned right around.	maybe you're right.	turned right around.	maybe you're right.	turned right around.	maybe you're right.
maybe you're right.	maybe going.	maybe you're right.	maybe going.	maybe you're right.	maybe going.
married?	no. i'm divorced.	married?	no. i'm divorced.	married?	no. i'm divorced.
no. i'm divorced.	divorced?	no. i'm divorced.	divorced?	no. i'm divorced.	divorced?
divorced?	got divorced years ago.	divorced?	got divorced years ago.	divorced?	got divorced years ago.
got divorced years ago.	divorced?	got divorced years ago.	divorced?	got divorced years ago.	divorced?
divorced?	wife left me.	divorced?	wife left me.	divorced?	wife left me.
wife left me.	leave you?	wife left me.	leave you?	wife left me.	leave you?
leave you?	said didn't love anymore.	leave you?	said didn't love anymore.	leave you?	said didn't love anymore.
said didn't love anymore.	wow! that's terrible.	said didn't love anymore.	wow! that's terrible.	said didn't love anymore.	wow! that's terrible.
wow! that's terrible.	yes, was.	wow! that's terrible.	yes, was.	wow! that's terrible.	yes, was.
yes, was.	didn't love anymore?	yes, was.	didn't love anymore?	yes, was.	didn't love anymore?
didn't love anymore?	fell love best friend.	didn't love anymore?	fell love best friend.	didn't love anymore?	fell love best friend.
i'm bored.	what's tv?	i'm bored.	what's tv?	i'm bored.	what's tv?
what's tv?	nothing.	what's tv?	nothing.	what's tv?	nothing.
nothing.	tv!	nothing.	tv!	nothing.	tv!
tv!	that's interesting.	tv!	that's interesting.	tv!	that's interesting.
that's interesting.	new game show?	that's interesting.	new game show?	that's interesting.	new game show?
new game show?	one?	new game show?	one?	new game show?	one?
one?	deal deal	one?	deal deal	one?	deal deal
deal deal	tell you're joking.	deal deal	tell you're joking.	deal deal	tell you're joking.
tell you're joking.	love show.	tell you're joking.	love show.	tell you're joking.	love show.
love show.	watched once. enough.	love show.	watched once. enough.	love show.	watched once. enough.
watched once. enough.	it's right now. let's watch together.	watched once. enough.	it's right now. let's watch together.	watched once. enough.	it's right now. let's watch together.
like living here.	agree. pasadena nice city.	like living here.	agree. pasadena nice city.	like living here.	agree. pasadena nice city.
agree. pasadena nice city.	it's big.	agree. pasadena nice city.	it's big.	agree. pasadena nice city.	it's big.
it's big.	it's small.	it's big.	it's small.	it's big.	it's small.
it's small.	great weather year long.	it's small.	great weather year long.	it's small.	great weather year long.
great weather year long.	rose parade.	great weather year long.	rose parade.	great weather year long.	rose parade.
rose parade.	beautiful houses.	rose parade.	beautiful houses.	rose parade.	beautiful houses.
beautiful houses.	wonderful restaurants.	beautiful houses.	wonderful restaurants.	beautiful houses.	wonderful restaurants.
wonderful restaurants.	great schools.	wonderful restaurants.	great schools.	wonderful restaurants.	great schools.
great schools.	it's close mountains.	great schools.	it's close mountains.	great schools.	it's close mountains.
it's close mountains.	people friendly.	it's close mountains.	people friendly.	it's close mountains.	people friendly.
people friendly.	i'm going leave.	people friendly.	i'm going leave.	people friendly.	i'm going leave.
need new mattress.	what's matter one?	need new mattress.	what's matter one?	need new mattress.	what's matter one?
what's matter one?	it's comfortable.	what's matter one?	it's comfortable.	what's matter one?	it's comfortable.
it's comfortable.	fine me.	it's comfortable.	fine me.	it's comfortable.	fine me.
fine me.	toss turn night.	fine me.	toss turn night.	fine me.	toss turn night.
toss turn night.	stop drinking coffee.	toss turn night.	stop drinking coffee.	toss turn night.	stop drinking coffee.
stop drinking coffee.	look marks arms.	stop drinking coffee.	look marks arms.	stop drinking coffee.	look marks arms.
look marks arms.	they?	look marks arms.	they?	look marks arms.	they?
they?	bites.	they?	bites.	they?	bites.
bites.	cat bite you?	bites.	cat bite you?	bites.	cat bite you?
cat bite you?	no. bedbugs mattress bit me.	cat bite you?	no. bedbugs mattress bit me.	cat bite you?	no. bedbugs mattress bit me.
no. bedbugs mattress bit me.	okay. let's new mattress.	no. bedbugs mattress bit me.	okay. let's new mattress.	no. bedbugs mattress bit me.	okay. let's new mattress.
laptop slow.	buy new one.	laptop slow.	buy new one.	laptop slow.	buy new one.
buy new one.	money.	buy new one.	money.	buy new one.	money.
money.	slow?	money.	slow?	money.	slow?
slow?	that's good question.	slow?	that's good question.	slow?	that's good question.
that's good question.	computer shop?	that's good question.	computer shop?	that's good question.	computer shop?
computer shop?	money.	computer shop?	money.	computer shop?	money.
money.	well, guess live it.	money.	well, guess live it.	money.	well, guess live it.
well, guess live it.	want throw window.	well, guess live it.	want throw window.	well, guess live it.	want throw window.
want throw window.	don't want that.	want throw window.	don't want that.	want throw window.	don't want that.
don't want that.	not?	don't want that.	not?	don't want that.	not?
not?	hit head.	not?	hit head.	not?	hit head.
what's dinner?	i'm sure.	what's dinner?	i'm sure.	what's dinner?	i'm sure.
i'm sure.	pizza?	i'm sure.	pizza?	i'm sure.	pizza?
pizza?	pizza lunch.	pizza?	pizza lunch.	pizza?	pizza lunch.
pizza lunch.	love pizza.	pizza lunch.	love pizza.	pizza lunch.	love pizza.
love pizza.	everybody loves pizza.	love pizza.	everybody loves pizza.	love pizza.	everybody loves pizza.
everybody loves pizza.	can't pizza dinner?	everybody loves pizza.	can't pizza dinner?	everybody loves pizza.	can't pizza dinner?
can't pizza dinner?	need variety.	can't pizza dinner?	need variety.	can't pizza dinner?	need variety.
need variety.	"what's ""variety?"	need variety.	"what's ""variety?"	need variety.	"what's ""variety?"
"what's ""variety?"	different thingsnot thing time.	"what's ""variety?"	different thingsnot thing time.	"what's ""variety?"	different thingsnot thing time.
different thingsnot thing time.	mean, like pepperoni pizza instead cheese pizza?	different thingsnot thing time.	mean, like pepperoni pizza instead cheese pizza?	different thingsnot thing time.	mean, like pepperoni pizza instead cheese pizza?
mean, like pepperoni pizza instead cheese pizza?	no, mean salad instead pizza.	mean, like pepperoni pizza instead cheese pizza?	no, mean salad instead pizza.	mean, like pepperoni pizza instead cheese pizza?	no, mean salad instead pizza.
need save money.	need save money?	need save money.	need save money?	need save money.	need save money?
need save money?	need buy house.	need save money?	need buy house.	need save money?	need buy house.
need buy house.	house expensive.	need buy house.	house expensive.	need buy house.	house expensive.
house expensive.	that's need save money.	house expensive.	that's need save money.	house expensive.	that's need save money.
that's need save money.	need save?	that's need save money.	need save?	that's need save money.	need save?
need save?	need save payment.	need save?	need save payment.	need save?	need save payment.
need save payment.	that?	need save payment.	that?	need save payment.	that?
that?	that's $30,000.	that?	that's $30,000.	that?	that's $30,000.
that's $30,000.	thirty thousand dollars! forever.	that's $30,000.	thirty thousand dollars! forever.	that's $30,000.	thirty thousand dollars! forever.
thirty thousand dollars! forever.	save penny.	thirty thousand dollars! forever.	save penny.	thirty thousand dollars! forever.	save penny.
save penny.	okay. here's seven pennies.	save penny.	okay. here's seven pennies.	save penny.	okay. here's seven pennies.
ocean big.	can't end it.	ocean big.	can't end it.	ocean big.	can't end it.
can't end it.	goes forever.	can't end it.	goes forever.	can't end it.	goes forever.
goes forever.	it's deep, too.	goes forever.	it's deep, too.	goes forever.	it's deep, too.
it's deep, too.	think it's miles deep.	it's deep, too.	think it's miles deep.	it's deep, too.	think it's miles deep.
think it's miles deep.	fish bottom?	think it's miles deep.	fish bottom?	think it's miles deep.	fish bottom?
fish bottom?	fish bottom.	fish bottom?	fish bottom.	fish bottom?	fish bottom.
fish bottom.	fish people?	fish bottom.	fish people?	fish bottom.	fish people?
fish people?	think fish.	fish people?	think fish.	fish people?	think fish.
think fish.	hope so. love eat fish.	think fish.	hope so. love eat fish.	think fish.	hope so. love eat fish.
i'm upset mom.	that?	i'm upset mom.	that?	i'm upset mom.	that?
that?	warned new boyfriend. didn't listen me.	that?	warned new boyfriend. didn't listen me.	that?	warned new boyfriend. didn't listen me.
warned new boyfriend. didn't listen me.	happened?	warned new boyfriend. didn't listen me.	happened?	warned new boyfriend. didn't listen me.	happened?
happened?	gave $1,000 birthday. told spend herself.	happened?	gave $1,000 birthday. told spend herself.	happened?	gave $1,000 birthday. told spend herself.
gave $1,000 birthday. told spend herself.	nice you.	gave $1,000 birthday. told spend herself.	nice you.	gave $1,000 birthday. told spend herself.	nice you.
nice you.	found gave new boyfriend.	nice you.	found gave new boyfriend.	nice you.	found gave new boyfriend.
found gave new boyfriend.	that?	found gave new boyfriend.	that?	found gave new boyfriend.	that?
that?	said buy nice ring.	that?	said buy nice ring.	that?	said buy nice ring.
said buy nice ring.	what's wrong that?	said buy nice ring.	what's wrong that?	said buy nice ring.	what's wrong that?
what's wrong that?	went las vegas. lost gambling.	what's wrong that?	went las vegas. lost gambling.	what's wrong that?	went las vegas. lost gambling.
went las vegas. lost gambling.	hope mom broke him.	went las vegas. lost gambling.	hope mom broke him.	went las vegas. lost gambling.	hope mom broke him.
animals talk other?	course talk other.	animals talk other?	course talk other.	animals talk other?	course talk other.
course talk other.	talk about?	course talk other.	talk about?	course talk other.	talk about?
talk about?	talk animals.	talk about?	talk animals.	talk about?	talk animals.
talk animals.	talk about?	talk animals.	talk about?	talk animals.	talk about?
talk about?	talk food weather.	talk about?	talk food weather.	talk about?	talk food weather.
talk food weather.	talk us?	talk food weather.	talk us?	talk food weather.	talk us?
talk us?	course talk us.	talk us?	course talk us.	talk us?	course talk us.
course talk us.	us?	course talk us.	us?	course talk us.	us?
us?	funny-looking.	us?	funny-looking.	us?	funny-looking.
funny-looking.	ha! we're funny-looking; animals funny-looking.	funny-looking.	ha! we're funny-looking; animals funny-looking.	funny-looking.	ha! we're funny-looking; animals funny-looking.
ha! we're funny-looking; animals funny-looking.	we're funny-looking wear clothes.	ha! we're funny-looking; animals funny-looking.	we're funny-looking wear clothes.	ha! we're funny-looking; animals funny-looking.	we're funny-looking wear clothes.
clean house.	yes, it's dirty.	clean house.	yes, it's dirty.	clean house.	yes, it's dirty.
yes, it's dirty.	help me.	yes, it's dirty.	help me.	yes, it's dirty.	help me.
help me.	me?	help me.	me?	help me.	me?
me?	helped dirty.	me?	helped dirty.	me?	helped dirty.
helped dirty.	want do?	helped dirty.	want do?	helped dirty.	want do?
want do?	want clean bathroom.	want do?	want clean bathroom.	want do?	want clean bathroom.
want clean bathroom.	oh, that's easy.	want clean bathroom.	oh, that's easy.	want clean bathroom.	oh, that's easy.
oh, that's easy.	clean sink, tub, counter, toilet.	oh, that's easy.	clean sink, tub, counter, toilet.	oh, that's easy.	clean sink, tub, counter, toilet.
clean sink, tub, counter, toilet.	that's lot work.	clean sink, tub, counter, toilet.	that's lot work.	clean sink, tub, counter, toilet.	that's lot work.
that's lot work.	tell finish.	that's lot work.	tell finish.	that's lot work.	tell finish.
tell finish.	don't think so. you'll work.	tell finish.	don't think so. you'll work.	tell finish.	don't think so. you'll work.
you're watching tv.	mean?	you're watching tv.	mean?	you're watching tv.	mean?
mean?	mean you're wasting life.	mean?	mean you're wasting life.	mean?	mean you're wasting life.
mean you're wasting life.	i'm having fun.	mean you're wasting life.	i'm having fun.	mean you're wasting life.	i'm having fun.
i'm having fun.	you're sitting mouth open.	i'm having fun.	you're sitting mouth open.	i'm having fun.	you're sitting mouth open.
you're sitting mouth open.	cares?	you're sitting mouth open.	cares?	you're sitting mouth open.	cares?
cares?	care. something.	cares?	care. something.	cares?	care. something.
care. something.	okay. something.	care. something.	okay. something.	care. something.	okay. something.
okay. something.	do?	okay. something.	do?	okay. something.	do?
do?	turned volume.	do?	turned volume.	do?	turned volume.
turned volume.	"that's meant ""do something."""	turned volume.	"that's meant ""do something."""	turned volume.	"that's meant ""do something."""
"that's meant ""do something."""	something? leave alone.	"that's meant ""do something."""	something? leave alone.	"that's meant ""do something."""	something? leave alone.
write letter grandma?	yes, did.	write letter grandma?	yes, did.	write letter grandma?	yes, did.
yes, did.	tell school?	yes, did.	tell school?	yes, did.	tell school?
tell school?	told school fun.	tell school?	told school fun.	tell school?	told school fun.
told school fun.	letter envelope?	told school fun.	letter envelope?	told school fun.	letter envelope?
letter envelope?	yes, sealed envelope.	letter envelope?	yes, sealed envelope.	letter envelope?	yes, sealed envelope.
yes, sealed envelope.	stamp envelope?	yes, sealed envelope.	stamp envelope?	yes, sealed envelope.	stamp envelope?
stamp envelope?	couldn't find stamps.	stamp envelope?	couldn't find stamps.	stamp envelope?	couldn't find stamps.
couldn't find stamps.	they're kitchen drawer.	couldn't find stamps.	they're kitchen drawer.	couldn't find stamps.	they're kitchen drawer.
they're kitchen drawer.	okay. stamp envelope.	they're kitchen drawer.	okay. stamp envelope.	they're kitchen drawer.	okay. stamp envelope.
okay. stamp envelope.	envelope, i'll mail you.	okay. stamp envelope.	envelope, i'll mail you.	okay. stamp envelope.	envelope, i'll mail you.
envelope, i'll mail you.	grandma going learn e-mail?	envelope, i'll mail you.	grandma going learn e-mail?	envelope, i'll mail you.	grandma going learn e-mail?
yawning?	i'm sleepy.	yawning?	i'm sleepy.	yawning?	i'm sleepy.
i'm sleepy.	don't bed?	i'm sleepy.	don't bed?	i'm sleepy.	don't bed?
don't bed?	want watch tv show.	don't bed?	want watch tv show.	don't bed?	want watch tv show.
want watch tv show.	maybe record it.	want watch tv show.	maybe record it.	want watch tv show.	maybe record it.
maybe record it.	tape recorder broken.	maybe record it.	tape recorder broken.	maybe record it.	tape recorder broken.
tape recorder broken.	watch rerun.	tape recorder broken.	watch rerun.	tape recorder broken.	watch rerun.
watch rerun.	why? i'm watching original.	watch rerun.	why? i'm watching original.	watch rerun.	why? i'm watching original.
why? i'm watching original.	you'll asleep minute.	why? i'm watching original.	you'll asleep minute.	why? i'm watching original.	you'll asleep minute.
you'll asleep minute.	i'm yawning commercials on.	you'll asleep minute.	i'm yawning commercials on.	you'll asleep minute.	i'm yawning commercials on.
i'm yawning commercials on.	okay. i'll tell ends.	i'm yawning commercials on.	okay. i'll tell ends.	i'm yawning commercials on.	okay. i'll tell ends.
okay. i'll tell ends.	zzz.	okay. i'll tell ends.	zzz.	okay. i'll tell ends.	zzz.
it's sunday.	so?	it's sunday.	so?	it's sunday.	so?
so?	know means.	so?	know means.	so?	know means.
know means.	forgot.	know means.	forgot.	know means.	forgot.
forgot.	sunday means church.	forgot.	sunday means church.	forgot.	sunday means church.
sunday means church.	oh, yeah.	sunday means church.	oh, yeah.	sunday means church.	oh, yeah.
oh, yeah.	coat tie.	oh, yeah.	coat tie.	oh, yeah.	coat tie.
coat tie.	why?	coat tie.	why?	coat tie.	why?
why?	respect god others.	why?	respect god others.	why?	respect god others.
respect god others.	i'm glad sunday week.	respect god others.	i'm glad sunday week.	respect god others.	i'm glad sunday week.
i'm glad sunday week.	hope god didn't hear that.	i'm glad sunday week.	hope god didn't hear that.	i'm glad sunday week.	hope god didn't hear that.
hope god didn't hear that.	he'll forgive me.	hope god didn't hear that.	he'll forgive me.	hope god didn't hear that.	he'll forgive me.
feed cat?	i'll minute.	feed cat?	i'll minute.	feed cat?	i'll minute.
i'll minute.	cat meowing. he's hungry.	i'll minute.	cat meowing. he's hungry.	i'll minute.	cat meowing. he's hungry.
cat meowing. he's hungry.	okay. i'll feed right now.	cat meowing. he's hungry.	okay. i'll feed right now.	cat meowing. he's hungry.	okay. i'll feed right now.
okay. i'll feed right now.	shouldn't wait.	okay. i'll feed right now.	shouldn't wait.	okay. i'll feed right now.	shouldn't wait.
shouldn't wait.	homework.	shouldn't wait.	homework.	shouldn't wait.	homework.
homework.	cat doesn't care homework.	homework.	cat doesn't care homework.	homework.	cat doesn't care homework.
cat doesn't care homework.	cat doesn't care anything.	cat doesn't care homework.	cat doesn't care anything.	cat doesn't care homework.	cat doesn't care anything.
cat doesn't care anything.	that's way cats are.	cat doesn't care anything.	that's way cats are.	cat doesn't care anything.	that's way cats are.
that's way cats are.	think themselves.	that's way cats are.	think themselves.	that's way cats are.	think themselves.
think themselves.	maybe rid him.	think themselves.	maybe rid him.	think themselves.	maybe rid him.
maybe rid him.	course not! he's family.	maybe rid him.	course not! he's family.	maybe rid him.	course not! he's family.
hate shaving.	too.	hate shaving.	too.	hate shaving.	too.
too.	cut again.	too.	cut again.	too.	cut again.
cut again.	use new blade?	cut again.	use new blade?	cut again.	use new blade?
use new blade?	doesn't matter. old blades cut, new blades cut.	use new blade?	doesn't matter. old blades cut, new blades cut.	use new blade?	doesn't matter. old blades cut, new blades cut.
doesn't matter. old blades cut, new blades cut.	maybe use electric shaver.	doesn't matter. old blades cut, new blades cut.	maybe use electric shaver.	doesn't matter. old blades cut, new blades cut.	maybe use electric shaver.
maybe use electric shaver.	lot noise, don't close shave.	maybe use electric shaver.	lot noise, don't close shave.	maybe use electric shaver.	lot noise, don't close shave.
lot noise, don't close shave.	maybe stop shaving.	lot noise, don't close shave.	maybe stop shaving.	lot noise, don't close shave.	maybe stop shaving.
maybe stop shaving.	grow beard?	maybe stop shaving.	grow beard?	maybe stop shaving.	grow beard?
grow beard?	sure. not?	grow beard?	sure. not?	grow beard?	sure. not?
sure. not?	food stuff sticks beard.	sure. not?	food stuff sticks beard.	sure. not?	food stuff sticks beard.
food stuff sticks beard.	hmm. here's idea. cream face cat lick off.	food stuff sticks beard.	hmm. here's idea. cream face cat lick off.	food stuff sticks beard.	hmm. here's idea. cream face cat lick off.
excuse me.	yes?	excuse me.	yes?	excuse me.	yes?
yes?	reading paper?	yes?	reading paper?	yes?	reading paper?
reading paper?	oh, no. help yourself.	reading paper?	oh, no. help yourself.	reading paper?	oh, no. help yourself.
oh, no. help yourself.	asked paper sitting you.	oh, no. help yourself.	asked paper sitting you.	oh, no. help yourself.	asked paper sitting you.
asked paper sitting you.	thank you. that's polite ask.	asked paper sitting you.	thank you. that's polite ask.	asked paper sitting you.	thank you. that's polite ask.
thank you. that's polite ask.	people pick up.	thank you. that's polite ask.	people pick up.	thank you. that's polite ask.	people pick up.
people pick up.	yes, know. people rude.	people pick up.	yes, know. people rude.	people pick up.	yes, know. people rude.
yes, know. people rude.	try polite.	yes, know. people rude.	try polite.	yes, know. people rude.	try polite.
try polite.	i.	try polite.	i.	try polite.	i.
i.	world needs polite people like us.	i.	world needs polite people like us.	i.	world needs polite people like us.
world needs polite people like us.	agree 100 percent.	world needs polite people like us.	agree 100 percent.	world needs polite people like us.	agree 100 percent.
mom, want puppy.	let think it.	mom, want puppy.	let think it.	mom, want puppy.	let think it.
let think it.	think it?	let think it.	think it?	let think it.	think it?
think it?	puppy costs money.	think it?	puppy costs money.	think it?	puppy costs money.
puppy costs money.	no, doesn't. puppies free.	puppy costs money.	no, doesn't. puppies free.	puppy costs money.	no, doesn't. puppies free.
no, doesn't. puppies free.	yes, puppy needs shots.	no, doesn't. puppies free.	yes, puppy needs shots.	no, doesn't. puppies free.	yes, puppy needs shots.
yes, puppy needs shots.	shots what?	yes, puppy needs shots.	shots what?	yes, puppy needs shots.	shots what?
shots what?	won't sick. like shots.	shots what?	won't sick. like shots.	shots what?	won't sick. like shots.
won't sick. like shots.	hate shots.	won't sick. like shots.	hate shots.	won't sick. like shots.	hate shots.
hate shots.	puppy eats food. food costs money.	hate shots.	puppy eats food. food costs money.	hate shots.	puppy eats food. food costs money.
